Localidad,id_Localidad
Coronel Mollinedo,1028
Coronel Olleros,1029
Coronel Pringles (Est. Pringles),1030
Coronel Rodolfo S. Domínguez,1031
Coronel Seguí,1032
Coronel Suárez,1033
Coronel Vidal,1034
Corpus,1035
Corral Quemado,1036
Corral de Bustos,1037
Corralito,1038
Correa,1039
Corrientes,1040
Cortaderas,1041
Cortines,1042
Corzuela,1043
Cosquín,1044
Costa Azul,1045
Costa Bonita,1046
Costa Flores,1047
Costa Grande,1048
Costa de Araujo,1049
Costa de Reyes,1050
Costa del Chubut,1051
Costasacate,1052
Cote Lai,1053
Country Chacras de la Villa - Country San Isidro,1054
Country Club Bosque Real - Barrio Morabo,1055
Country Club El Casco,1056
Country Club El Jagüel,1057
Country Club El Rodeo,1058
Country Club Las Praderas,1059
Country Club Los Caldenes,1060
Country Jockey Club,1061
Country Los Medanos,1062
Covunco Centro,1063
Coyaguaima,1064
Crespo,1065
Crispi,1066
Crotto,1067
Cruce Caballero,1068
Crucesita,1069
Crucesitas Séptima Sección,1070
Cruz Alta,1071
Cruz Caña,1072
Cruz de Caña,1073
Cruz de Piedra,1074
Cruz de los Milagros,1075
Cruz del Eje,1076
Cuadro Benegas,1077
Cuadro Nacional,1078
Cuadro Ortega,1079
Cuartel V,1080
Cuatro Bocas,1081
Cuatro Esquinas,1082
Cuchillo Co,1083
Cucullú,1084
Cuesta Blanca,1085
Cuipan,1086
Cululú,1087
Cura Malal,1088
Curarú,1089
Curupaity,1090
Curuzú Cuatiá,1091
Cushamen Centro,1092
Cusi Cusi,1093
Cutral Có,1094
Cóndor Huasi,1095
Córdoba,1096
D'Orbigny,1097
DORREGO,1098
Daireaux,1099
Dalmacio Vélez,1100
Damián Maisonave (Est. Simson),1101
Daniel Donovan,1102
Darregueira,1103
Darwin,1104
De Bary,1105
De la Canal,1106
De la Garma,1107
Del Campillo,1108
Del Carril,1109
Del Valle,1110
Del Viso,1111
Delfín Gallo,1112
Delfín Huergo,1113
Desaguadero,1114
Desiderio Tello,1115
Despeñaderos,1116
Destacamento Camara,1117
Destacamento Decepcion,1118
Destacamento Melchior,1119
Destacamento Petrel,1120
Desvío Aguirre,1121
Desvío Arijón,1122
Devoto,1123
Deán Funes,1124
Diadema Argentina,1125
Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),1126
Diamante,1127
Diego Gaynor,1128
Diego de Alvear,1129
Diego de Rojas,1130
Dina Huapi,1131
Dique Chico,1132
Dique Florentino Ameghino,1133
Dique Luján,1134
Dique Nº 1,1135
Dique Vulpiani,1136
Divisadero,1137
Doblas,1138
Dock Sud,1139
Doctor Ricardo Rojas,1140
Dolavon,1141
Dolores,1142
Domingo Savio,1143
Domselaar,1144
Don Bosco,1145
Don Cristóbal,1146
Don Emilio,1147
Don Orione,1148
Don Torcuato Este,1149
Don Torcuato Oeste,1150
Donadeu,1151
Dorila,1152
Dos Acequias (Est. Los Angacos),1153
Dos Arroyos,1154
Dos Hermanas,1155
Dos de Mayo Núcleo I,1156
Dos de Mayo Núcleo II,1157
Dos de Mayo Núcleo III,1158
Dr. Manuel Belgrano,1159
Dragones,1160
Dudignac,1161
Dufaur,1162
Duggan,1163
Dumesnil,1164
Dunamar,1165
Durazno,1166
Díaz,1167
EL CHALLAO,1168
EL PLUMERILLO,1169
EL RESGUARDO,1170
EL SAUCE,1171
EL ZAPALLAR,1172
EX INGENIO SAN JOSE,1173
Eduardo Castex,1174
Egusquiza,1175
El 49,1176
El Acheral,1177
El Aguilar,1178
El Alamito,1179
El Alcalde (Est. Tala Norte),1180
El Alcázar,1181
El Algarrobal,1182
El Alto,1183
El Angosto,1184
El Araza,1185
El Arañado,1186
El Arbolito,1187
El Arenal,1188
El Aybal,1189
El Baldecito,1190
El Barrial,1191
El Bañado,1192
El Bobadal,1193
El Bolsón,1194
El Borbollon,1195
El Bordo,1196
El Bracho,1197
El Brete,1198
El Brillante,1199
El Caburé,1200
El Cadillal,1201
El Cajón,1202
El Calafate,1203
El Calden,1204
El Caramelo,1205
El Carmelo,1206
El Carmen,1207
El Carril,1208
El Carrizal,1209
El Caín,1210
El Ceibal,1211
El Cerrito,1212
El Chacho,1213
El Chaltén,1214
El Charabon,1215
El Charco,1216
El Chañar,1217
El Chocón,1218
El Cholar,1219
El Chorrillo,1220
El Churrasco,1221
El Cimarrón,1222
El Colorado,1223
El Corcovado - El Torreón,1224
El Corte,1225
El Crispín,1226
El Crucero,1227
El Cuadrado,1228
El Cuy,1229
El Cóndor,1230
El Desmonte,1231
El Deán,1232
El Diquecito,1233
El Divisadero,1234
El Divisorio,1235
El Dorado,1236
El Duraznito,1237
El Durazno,1238
El Empalme,1239
El Encón,1240
El Escorial,1241
El Espinillo,1242
El Espino,1243
El Estanquito,1244
El Fical,1245
El Fiscal,1246
El Fortín,1247
El Foyel,1248
El Fuerte,1249
El Fuertecito,1250
El Galpón,1251
El Hoyo,1252
El Huayco,1253
El Hueco,1254
El Huecú,1255
El Injerto,1256
El Jagüel,1257
El Jardín,1258
El Juncal,1259
El Libertador,1260
El Lindero,1261
El Maitén,1262
El Manantial,1263
El Manzano,1264
El Marquesado,1265
El Medanito,1266
El Milagro,1267
El Mirador,1268
El Mirasol,1269
El Mogote,1270
El Mojón,1271
El Mollar,1272
El Moreno,1273
El Médano,1274
El Naranjo,1275
El Nihuil,1276
El Pajonal (Est. Pomán),1277
El Palenque,1278
El Palomar,1279
El Pantanillo,1280
El Paraguay,1281
El Paraiso,1282
El Paramillo,1283
El Paraíso,1284
El Pedregal,1285
El Pensamiento,1286
El Peral,1287
El Perdido (Est. José A. Guisasola),1288
El Peñón,1289
El Pingo,1290
El Piquete,1291
El Portezuelo,1292
El Potrerillo,1293
El Potrero,1294
El Potrillo,1295
