Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
175196,SI,SI,SI,SI,SI,SI,SI,SI,SI,26021030.0,"-45,8729846778063","-67,5430559979427",4,987,131
1317,--,--,--,--,--,SI,--,SI,SI,26021040.0,"-45,7906089158021","-67,6738925726169",4,1125,131
0,--,--,--,--,--,--,--,--,--,26021020.0,"-45,7707679612545","-67,4358046744231",4,1822,131
0,--,--,--,--,--,--,--,SI,SI,26021020.0,"-45,8318281251079","-67,4917096424434",4,1814,131
0,--,--,--,--,--,--,--,--,--,26021020.0,"-45,7875522789201","-67,4695736235974",4,1815,131
0,--,--,--,--,--,--,--,SI,SI,26021020.0,"-45,7988982385959","-67,4314970230436",4,1816,131
47306,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010.0,"-34,6299600080664","-58,4188403738383",1,263,51
9098,SI,SI,SI,SI,--,SI,SI,SI,SI,26021050.0,"-45,9368019185633","-67,5653960236573",4,2910,131
1296,--,--,--,--,SI,SI,SI,--,SI,26028010.0,"-44,79829087317","-65,7105992934951",4,610,144
18,--,--,--,--,--,SI,--,--,--,26028020.0,"-44,6795783728661","-66,6097364550235",4,1504,144
359,--,--,--,--,SI,--,SI,--,--,26035010.0,"-43,1198187614025","-71,5588967458005",4,80,148
1820,--,--,SI,--,SI,--,SI,--,--,26035020.0,"-43,5380021657326","-71,4659616215841",4,1007,148
32343,SI,SI,SI,--,SI,SI,SI,SI,SI,26035030.0,"-42,9133238858291","-71,3185116319277",4,1375,148
2934,--,--,SI,SI,--,SI,SI,SI,SI,6518020.0,"-37,2778606745914","-57,7740148170475",0,1554,261
172,--,--,--,--,--,SI,--,SI,SI,6518030.0,"-37,774854850113","-57,6351210747907",0,1834,261
0,--,--,--,--,--,--,--,SI,SI,6518020.0,"-37,7697388275396","-57,450820092514",0,1839,261
0,--,--,--,--,--,SI,--,--,--,6518020.0,"-37,7834384978567","-57,4647863685704",0,1851,261
487,--,--,--,--,--,--,SI,SI,SI,6518040.0,"-37,7462581727647","-57,4274479339348",0,2342,261
760,SI,--,SI,SI,--,--,SI,--,--,6518050.0,"-37,7768000427976","-57,455658983424",0,2345,261
0,--,--,--,--,--,SI,--,SI,SI,6518020.0,"-37,8730952780707","-57,5218898754931",0,2730,261
7713,SI,--,--,SI,--,SI,--,SI,SI,6518060.0,"-37,834833606977","-57,5079487213859",0,3211,261
0,--,--,--,--,--,--,--,--,--,6518020.0,"-37,8649003626945","-57,5169016362882",0,3214,261
956,--,--,--,SI,--,SI,SI,SI,SI,6518070.0,"-37,6627994476991","-57,6670967441538",0,3858,261
109,--,--,--,--,--,--,--,--,SI,6525010.0,"-34,953080822173","-58,78292863718",0,477,264
50460,SI,SI,SI,SI,SI,SI,SI,SI,SI,6525020.0,"-34,7965436888808","-58,8778211205753",0,2352,264
85,--,--,--,--,--,--,--,--,--,6532005.0,"-34,6029546709308","-59,288213732192",0,1590,268
14279,SI,--,SI,SI,SI,SI,SI,SI,SI,6084020.0,"-37,6766410210105","-59,8057677109444",0,523,37
138,--,--,--,SI,--,SI,--,--,--,6084030.0,"-37,5545120854221","-59,6278461536299",0,2292,37
157,--,--,--,--,--,--,--,SI,SI,6084040.0,"-37,3683686253208","-59,7630391604187",0,3372,37
2689,--,--,--,SI,SI,SI,--,SI,SI,6084050.0,"-37,6704778893557","-59,4003533386514",0,3581,37
100855,SI,SI,SI,SI,SI,SI,SI,SI,SI,6091010.0,"-34,7597493264937","-58,2019645234278",0,527,38
87792,SI,SI,--,SI,--,--,SI,SI,SI,6091010.0,"-34,7804201858899","-58,2415010261207",0,528,38
11695,SI,SI,--,SI,--,--,SI,SI,SI,6091010.0,"-34,8021192214631","-58,2188212494897",0,682,38
7847,SI,SI,--,--,--,SI,SI,SI,SI,6091010.0,"-34,9067557072114","-58,1966995021239",0,757,38
1288,SI,--,--,--,--,--,SI,--,--,14168090.0,"-30,7741941000543","-64,1089868115808",5,3264,410
340,--,--,--,--,--,--,SI,--,--,14168100.0,"-30,4752563998131","-63,9850395218446",5,3302,410
49458,SI,SI,SI,SI,--,--,SI,SI,SI,6091010.0,"-34,7897594857633","-58,1439692638183",0,1634,38
14868,SI,SI,SI,SI,--,SI,SI,SI,SI,6091010.0,"-34,8348420760566","-58,1819061125702",0,1799,38
1291,SI,SI,SI,SI,--,--,SI,--,SI,6091010.0,"-34,8471945391094","-58,1392765205344",0,2681,38
17961,--,SI,--,SI,--,--,SI,SI,SI,6091010.0,"-34,7674201820877","-58,1652686003148",0,2745,38
17183,SI,SI,SI,SI,SI,--,SI,SI,SI,6091010.0,"-34,7941468501172","-58,1989815634425",0,2933,38
15205,SI,SI,--,SI,--,--,SI,SI,SI,6091010.0,"-34,776063416904","-58,2002532983623",0,3630,38
0,--,--,--,--,--,--,--,--,SI,6098010.0,"-34,8752589900973","-57,8550856662877",0,328,39
0,--,--,--,SI,--,SI,--,SI,SI,6098010.0,"-34,9293102150655","-57,8853552505795",0,356,39
0,--,--,--,--,--,--,--,SI,SI,6098010.0,"-34,9027528834433","-57,9270884333304",0,483,39
0,--,--,--,--,SI,--,--,SI,SI,30008100.0,"-32,1819017485871","-58,1918561863469",7,1223,100
58,--,--,--,--,--,SI,--,--,--,30008040.0,"-31,9629513486876","-58,5082059489741",7,1642,100
6557,--,--,SI,--,SI,--,SI,SI,SI,6351020.0,"-34,764155990724","-61,8900674920122",0,1553,172
1397,SI,--,--,--,--,--,--,SI,SI,6351030.0,"-34,576111833277","-62,0518306894073",0,1567,172
23,--,--,--,--,--,--,--,SI,--,6351035.0,"-34,5994995308259","-61,9164989081536",0,1635,172
1176,--,--,--,SI,SI,--,SI,--,SI,6351040.0,"-34,7913160212074","-62,2011090686366",0,3639,172
38,--,--,--,--,--,--,--,--,--,6351050.0,"-34,5798302278832","-62,1710489234118",0,3768,172
0,--,--,--,--,--,SI,--,SI,SI,6351020.0,"-37,8931024789245","-57,8261645643114",0,346,173
