Año,Trimestre,id_Provincia,<0.512 mbps,0.512 - 1 Mbps,1 - 6 Mbps,6 - 10 Mbps,10 - 20 Mbps,20 - 30 Mbps,>=30 Mbps,Otros,Total,Total2,Diferencia
2020,3,5,1680,3064,218599,124833,84236,63823,361021,11728,867472,868984,-1512
2020,3,6,720,5270,35190,23315,25308,8615,25344,502,123391,124264,-873
2020,3,7,1300,2911,66648,51478,40797,14377,49395,15759,241495,242665,-1170
2020,3,8,3910,1510,23163,7432,7125,9910,8219,1737,49209,63006,-13797
2020,3,9,550,1820,32131,10566,45198,2930,15238,3065,106728,111498,-4770
2020,3,10,2930,8100,66695,782,5577,2189,6322,4029,93735,96624,-2889
2020,3,11,210,10,37105,5955,466,1240,4748,20,52616,49754,2862
2020,3,12,580,400,141404,12123,42433,3448,8237,450,207788,209075,-1287
2020,3,13,710,5240,39005,24215,25942,13663,30987,8779,143186,148541,-5355
2020,3,14,2180,3270,60463,6561,5975,5449,49439,8030,129235,141367,-12132
2020,3,15,1140,4660,68986,3769,7096,3455,28488,19093,131467,136687,-5220
2020,3,16,1290,5140,32780,64736,1599,7928,43773,14996,180846,172242,8604
2020,3,17,480,1940,65526,7110,6529,410,128,415,77327,82538,-5211
2020,3,18,1050,0,12199,3351,2666,61319,8,36917,116565,117510,-945
2020,3,19,660,0,26888,4015,673,6290,120,8330,39281,46976,-7695
2020,3,20,5680,1241,213353,199381,92095,58797,210562,27001,802998,808110,-5112
2020,3,21,1330,9090,33287,57418,4658,2920,3994,4801,105492,117498,-12006
2020,3,22,110,0,22094,5414,3726,4810,937,6992,39655,44083,-4428
2020,3,23,520,970,45913,5461,33126,3246,84195,2637,223876,176068,47808
2020,2,0,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546,3777546,0
2020,2,1,2640,3120,166474,94585,79858,8016,935481,6870,1357821,1297044,60777
2020,2,2,630,0,8801,869,10242,4260,16578,3176,47976,44556,3420
2020,2,3,3080,9280,24350,2114,29044,12082,33311,6969,128132,120230,7902
2020,2,4,1580,1090,69578,22188,10537,1473,614,3999,108656,111059,-2403
2020,2,5,1680,4383,219025,125932,8953,63216,325243,8971,836468,757403,79065
2020,2,6,720,5270,34242,22845,25844,7898,22418,502,118866,119739,-873
2020,2,7,1300,3679,66758,5064,4209,12856,43391,14569,234113,151826,82287
2020,2,8,3910,1510,23534,7109,6998,9610,7475,1313,47932,61459,-13527
2020,2,9,550,1820,30548,10519,26829,2090,9417,16557,94316,98330,-4014
2020,2,10,2930,8100,71218,7531,38,1657,3377,1123,89809,95974,-6165
2020,2,11,210,10,37375,5661,4686,730,4336,20,52155,53028,-873
2020,2,12,580,400,142253,12439,35274,3248,5422,245,201184,199861,1323
2020,2,13,710,5240,39867,23719,26445,12305,28763,8646,140340,145695,-5355
2020,2,14,2180,3270,61171,6103,6625,5296,46432,0,126172,131077,-4905
2020,2,15,1140,4660,70817,3335,7498,3246,26953,17057,129486,134706,-5220
2020,2,16,1290,5140,41801,64463,16989,7741,39594,6531,177762,183549,-5787
2020,2,17,480,1940,59113,9170,4908,400,127,443,69777,76581,-6804
2020,2,18,1050,0,11439,3585,1934,60889,8,35992,113952,114897,-945
2020,2,19,660,0,26938,4166,6541,5460,119,4930,38869,48814,-9945
2020,2,20,5680,2061,213054,198772,96575,57236,189473,20193,777932,783044,-5112
2020,2,21,1330,1779,32557,57709,5178,2470,3328,4516,105447,108867,-3420
2020,2,22,110,0,22325,5186,3034,3910,796,7446,39189,42807,-3618
2020,2,23,520,970,49028,54537,34184,2246,74377,2635,217156,218497,-1341
2020,1,0,38215,36802,1122034,236421,247977,20578,1802583,28935,3718747,3533545,185202
2020,1,1,2640,3120,169651,102254,89665,85899,906009,0,1354054,1359238,-5184
2020,1,2,630,0,8838,7543,9558,4080,10299,2151,38860,43099,-4239
2020,1,3,3080,9280,23291,19976,29851,10416,28539,6917,120226,131350,-11124
2020,1,4,1580,1090,69586,12957,7756,124,614,45,96920,93752,3168
2020,1,5,1420,5128,217229,120188,95827,65733,296875,9802,810924,812202,-1278
2020,1,6,720,5270,33479,21382,26679,7351,19467,478,113737,114826,-1089
2020,1,7,1300,4081,72280,47132,41125,11988,39794,13762,230292,231462,-1170
2020,1,8,1127,3420,23761,65,6564,9640,6918,1000,46276,52495,-6219
2020,1,9,550,1820,33120,9979,26693,1660,7349,16545,94089,97716,-3627
2020,1,10,2930,8110,72740,7199,3029,1342,2113,1618,89145,99081,-9936
2020,1,11,210,10,37209,5158,464,220,1294,0,48345,44565,3780
2020,1,12,580,400,140410,12285,17489,286,3818,0,176960,175268,1692
2020,1,13,710,5240,36622,21271,26433,11581,26313,10885,133700,139055,-5355
2020,1,14,2180,3270,60152,5257,7123,5399,43738,0,122214,127119,-4905
2020,1,15,1140,4660,69154,293,7857,3199,25488,17719,126927,129510,-2583
2020,1,16,1290,5140,38537,63714,17991,8625,34744,6441,170695,176482,-5787
2020,1,17,480,1940,59787,1594,1292,400,127,4779,67861,70399,-2538
2020,1,18,1050,0,11322,4164,5250,58258,5,36075,110454,116124,-5670
2020,1,19,670,110,27447,4993,5169,5290,119,0,38335,43798,-5463
2020,1,20,6960,2994,217553,196826,10456,48448,173823,17656,762556,674716,87840
2020,1,21,1330,1779,33086,56884,3737,1350,2799,4501,103054,105466,-2412
2020,1,22,110,10,22976,5024,1834,1960,518,7046,37606,39478,-1872
2020,1,23,520,970,49555,50383,31096,173,67536,0,200449,200233,216
2019,4,0,33489,27537,1177446,262297,247106,45257,1465133,20676,3686254,3278941,407313
2019,4,1,3070,150,177098,110218,110852,20581,753805,0,1358105,1175774,182331
2019,4,2,630,0,9945,7619,9305,8040,7477,3098,38311,46114,-7803
2019,4,3,830,0,25899,18959,30902,13516,21556,6988,117903,118650,-747
2019,4,4,1580,40,69405,12945,7615,124,614,4121,96102,96444,-342
2019,4,5,1420,0,232781,118232,10933,114111,221742,1035,806688,700254,106434
2019,4,6,720,0,35055,2062,27367,9981,15744,4995,113834,95924,17910
2019,4,7,470,0,88203,44511,42962,18976,30153,14178,239030,239453,-423
2019,4,8,1127,1910,24606,6319,6788,1766,5671,2430,46711,50617,-3906
2019,4,9,550,0,32920,9632,26764,1020,5286,14122,88881,90294,-1413
2019,4,10,2930,3130,76747,69,1951,1287,1342,1566,90399,89022,1377
2019,4,11,210,0,37846,5045,4763,220,1305,0,49002,49389,-387
2019,4,12,7460,90,145139,12955,15237,2165,2628,6901,185780,192575,-6795
2019,4,13,710,0,39664,2084,27305,15626,20799,11508,135813,117696,18117
2019,4,14,2180,10,57370,4439,7357,12059,35001,0,116445,118416,-1971
2019,4,15,1140,0,71847,2797,8558,6968,19837,17019,127140,128166,-1026
2019,4,16,1490,10,42159,67656,15369,1417,25821,712,172445,154634,17811
2019,4,17,480,10,60626,1594,1292,400,127,1246,64974,65775,-801
2019,4,18,1050,0,11901,4164,5250,55216,3,36287,108201,113871,-5670
2019,4,19,670,0,32368,4346,2224,70,8,3500,39370,43186,-3816
2019,4,20,6980,0,230234,190664,113527,70998,135576,27472,769169,775451,-6282
2019,4,21,1330,9080,34911,56309,3756,1050,2449,5017,103588,113902,-10314
2019,4,22,110,0,23593,505,1848,1390,1962,7789,40392,37197,3195
2019,4,23,550,0,54544,52017,28916,6405,56707,0,198644,199139,-495
2019,3,0,23892,44648,1432722,222812,260506,483572,1246209,42294,3971683,3756655,215028
2019,3,1,1040,3680,269704,120924,138011,258591,655108,0,1442810,1447058,-4248
2019,3,2,340,430,14449,9285,6333,720,15,2151,32382,33723,-1341
